,,question,content,category
836,852,Не получается запланировать отпуск на следующий год,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
837,853,"В разделе ""задачи"" нет заявки на планирование отпуска на следующий год у ДМ/ДУ/ЛТЗ/Сотрудник супермаркета/Старший сотрудник супермаркета/Пекарь","Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
838,854,Архивная задача вернулась,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
839,855,Не можем запланировать отпуск,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
840,856,Нет задачи на планирование отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
841,857,Не активна кнопка планирования отпуска на будущей год,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
842,858,не могу запланировать отпуск в личном кабинете,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
843,859,Нет активной задачи по планированию графика отпусков,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
844,860,Нет возможности проставить дни отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
845,861,Нет возможности запланировать отпуск,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
846,862,Не отображается задача по планированию отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
847,863,Не получается запланировать в ЛК отпуск на следующий год,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
848,864,не могу запланировать себе отпуск,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
849,865,Прошу открыть доступ к планированию отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
850,866,В задачах лк нет сервиса по планированию отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
851,867,"не могу внести даты отпусков, не активна кнопка отправить на согласование","Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
852,868,Не отображаются отпуска в личном кабинете,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
853,869,"Не удаётся спланировать отпуск на СБ ВС, ошибка ""В период отпуска должен войти как минимум один рабочий день"". У меня сменный график и эти дни рабочие.","Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
854,870,Не получается внести отпуск на следующий год,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
855,871,В личном кабинете не отображается задача о запланировании отпуска,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
856,872,Сотрудник не может запланировать свой отпуск,"Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
857,873,"необходимо запланировать отпуск, но программа не позволяет","Есть причины, по которым сотрудник может не участвовать в планировании: 1) Стоят неявки в промежутке от текущей даты до 01.09 следующего года. 2) Есть мероприятие увольнение в будущем начиная от текущей даты. 3) Имеется срочный трудовой договор, который оканчивается в середине следующего года 4) Сотрудник является внутренним совместителем 5) Сотрудник находится на 0% занятости от текущей даты и далее в будущем 6) Работа по договору ГПХ Для уточнения данного вопроса, а так же корректировки данных, вы можете обратиться в кадровую службу или же позвонить на горячую линию. *Если процесс планирования отпусков на будущий год окончен, то возможности в ЛК запланировать отпуск нет ни самому сотруднику, ни руководителю за сотрудника. Сотрудник сможет в следующем году оформить в ЛК ""Отпуск по заявлению"".",отпуск
858,874,При создании заявки на отпуск через личный кабинет происходит ошибка в период планирования,"Во время планирования отпусков, оформление заявок на перенос отпуска/отгулы и предоставление ежегодного отпуска по заявлению недоступно. Для проведения отгула на конец года необходимо обратиться к специалистам HR Вашей торговой сети или же позвонить на горячую линию.",отпуск
859,875,В период планирования заявка на отпуск не проведена,"Во время планирования отпусков, оформление заявок на перенос отпуска/отгулы и предоставление ежегодного отпуска по заявлению недоступно. Для проведения отгула на конец года необходимо обратиться к специалистам HR Вашей торговой сети или же позвонить на горячую линию.",отпуск
860,876,Нет возможности перенести отпуск во время планирования графика отпусков,"Во время планирования отпусков, оформление заявок на перенос отпуска/отгулы и предоставление ежегодного отпуска по заявлению недоступно. Для проведения отгула на конец года необходимо обратиться к специалистам HR Вашей торговой сети или же позвонить на горячую линию.",отпуск
861,877,На портале заблокирован перенос планового отпуска во время планирования отпусков на будующий год,"Во время планирования отпусков, оформление заявок на перенос отпуска/отгулы и предоставление ежегодного отпуска по заявлению недоступно. Для проведения отгула на конец года необходимо обратиться к специалистам HR Вашей торговой сети или же позвонить на горячую линию.",отпуск
862,878,Не могу создать заявку на отпуск во время планирования отпуска,"Во время планирования отпусков, оформление заявок на перенос отпуска/отгулы и предоставление ежегодного отпуска по заявлению недоступно. Для проведения отгула на конец года необходимо обратиться к специалистам HR Вашей торговой сети или же позвонить на горячую линию.",отпуск
863,879,Сколько дней мне доступно?,"Ознакомиться с графиком отпусков и воспользоваться доступным для планирования лимитом сотрудник может в разделе «Отпуска» https://company-x5.ru/vacations/plan?vp_page=1 . Обращаем внимание, что в Личном кабинете отображаются доступные лимиты за вычетом уже запланированных дней.",отпуск
864,880,Сотрудник магазина не запланировал отпуск,"У сотрудника нет плановых отпусков на будущий год. По вопросу проведения отпусков по коллегам Вам следует обратиться к специалистам HR вашей торговой сети. Для этого зайдите на портал https://company-x5.ru, нажмите ""Новое обращение"", выберите ""Кадры (HR)"", после чего выберите интересующую тему и заполните соответствующие поля.",отпуск
865,881,"Сотрудник запланировал отпуска, но директору магазина в "" Задачи"" не пришло уведомление","У сотрудника нет плановых отпусков на будущий год. По вопросу проведения отпусков по коллегам Вам следует обратиться к специалистам HR вашей торговой сети. Для этого зайдите на портал https://company-x5.ru, нажмите ""Новое обращение"", выберите ""Кадры (HR)"", после чего выберите интересующую тему и заполните соответствующие поля.",отпуск
866,882,"У сотрудника в личном кабинете не отображается запланированный отпуск, хотя планирование окончено","У сотрудника нет плановых отпусков на будущий год. По вопросу проведения отпусков по коллегам Вам следует обратиться к специалистам HR вашей торговой сети. Для этого зайдите на портал https://company-x5.ru, нажмите ""Новое обращение"", выберите ""Кадры (HR)"", после чего выберите интересующую тему и заполните соответствующие поля.",отпуск
867,883,Планирование завершено. Не отображается запланированный отпуск в личном кабинете,"У сотрудника нет плановых отпусков на будущий год. По вопросу проведения отпусков по коллегам Вам следует обратиться к специалистам HR вашей торговой сети. Для этого зайдите на портал https://company-x5.ru, нажмите ""Новое обращение"", выберите ""Кадры (HR)"", после чего выберите интересующую тему и заполните соответствующие поля.",отпуск
868,884,Удалите запланированный годовой отпуск,"Задача на планирование отпуска находится в разделе ""Задачи"" у Вашего руководителя в личном кабинете. Отменить/аннулировать заявку на плановый отпуск нельзя, его можно скорректировать после утверждения через перенос на нужные даты. Перенос будет доступен с начала следующего года. Для отмены проведенного отпуска, необходимо обратиться в кадровые службы, создав заявку в ЛК.",отпуск
869,885,"Сотрудник запланировал отпуск, однако в магазине нет управляющего, у ДМ тоже нет этого отпуска на согласовании","Задача на планирование отпуска находится в разделе ""Задачи"" у Вашего руководителя в личном кабинете. Отменить/аннулировать заявку на плановый отпуск нельзя, его можно скорректировать после утверждения через перенос на нужные даты. Перенос будет доступен с начала следующего года. Для отмены проведенного отпуска, необходимо обратиться в кадровые службы, создав заявку в ЛК.",отпуск
870,886,Кому вместо непосредственного руководителя упал отпуск сотрудника на согласование?,"Задача на планирование отпуска находится в разделе ""Задачи"" у Вашего руководителя в личном кабинете. Отменить/аннулировать заявку на плановый отпуск нельзя, его можно скорректировать после утверждения через перенос на нужные даты. Перенос будет доступен с начала следующего года. Для отмены проведенного отпуска, необходимо обратиться в кадровые службы, создав заявку в ЛК.",отпуск
871,887,"Сотрудник запланировала отпуск, но у руководителя в личном кабинете для согласования не появляется запланированный отпуск","Задача на планирование отпуска находится в разделе ""Задачи"" у Вашего руководителя в личном кабинете. Отменить/аннулировать заявку на плановый отпуск нельзя, его можно скорректировать после утверждения через перенос на нужные даты. Перенос будет доступен с начала следующего года. Для отмены проведенного отпуска, необходимо обратиться в кадровые службы, создав заявку в ЛК.",отпуск
