,question,content,category,question_changed,content_changed,category_changed,catalog
720,налоговый вычет,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,налоговый вычет,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,финансы
721,как получить налоговый вычет?,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,как получить налоговый вычет?,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,финансы
722,как создать заявку на налоговый вычет?,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,как создать заявку на налоговый вычет?,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,финансы
723,создать налоговый вычет,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,создать налоговый вычет,"для получения вычета создайте, пожалуйста, заявку в разделе ""заявки"" по теме ""льготы, выплаты, материальная помощь"", подтема ""налоговые вычеты"".",налоговый вычет,финансы
724,налоговый вычет дети,дети — инвалиды до 18 лет -12000 рублей для родителей. дети — инвалиды до 18 лет -6000 для опекунов и попечителей. на первого ребенка 1400 руб./месяц. на второго ребенка 1400 руб./месяц (суммируется =2800). на третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,налоговый вычет дети,дети — инвалиды до 18 лет -12000 рублей для родителей. дети — инвалиды до 18 лет -6000 для опекунов и попечителей. на первого ребенка 1400 руб./месяц. на второго ребенка 1400 руб./месяц (суммируется =2800). на третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,финансы
725,какой размер налогового вычета на детей?,дети — инвалиды до 18 лет -12000 рублей для родителей. дети — инвалиды до 18 лет -6000 для опекунов и попечителей. на первого ребенка 1400 руб./месяц. на второго ребенка 1400 руб./месяц (суммируется =2800). на третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,какой размер налогового вычета на детей?,дети — инвалиды до 18 лет -12000 рублей для родителей. дети — инвалиды до 18 лет -6000 для опекунов и попечителей. на первого ребенка 1400 руб./месяц. на второго ребенка 1400 руб./месяц (суммируется =2800). на третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,финансы
726,какая сумма вычета на детей?,дети — инвалиды до 18 лет -12000 рублей для родителей. дети — инвалиды до 18 лет -6000 для опекунов и попечителей. на первого ребенка 1400 руб./месяц. на второго ребенка 1400 руб./месяц (суммируется =2800). на третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,какая сумма вычета на детей?,дети — инвалиды до 18 лет -12000 рублей для родителей. дети — инвалиды до 18 лет -6000 для опекунов и попечителей. на первого ребенка 1400 руб./месяц. на второго ребенка 1400 руб./месяц (суммируется =2800). на третьего и последующего ребенка 3000 руб./месяц (суммируется =5800).,налоговый вычет,финансы
727,"в лк не отображается задача на подписание отгула, сотруднику",после описанных выше действий просьба повторить запрос и уточнить актуальность заявки.,отгул,"в личный кабинет не отображается задача на подписание отгула, сотруднику",после описанных выше действий просьба повторить запрос и уточнить актуальность заявки.,отгул,работа
728,как оплачивается отгул?,"в соответствии с ч. 4 ст. 153 тк рф по желанию сотрудника, который работал в выходной (нерабочий праздничный) день, ему может быть предоставлен другой день отдыха. в этом случае работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит.",отгул,как оплачивается отгул?,"в соответствии с ч. 4 ст. 153 трудовой кодекс российская федерация по желанию сотрудника, который работал в выходной (нерабочий праздничный) день, ему может быть предоставлен другой день отдыха. в этом случае работа в выходной или нерабочий праздничный день оплачивается в одинарном размере, а день отдыха оплате не подлежит.",отгул,работа
729,как перенести отгул?,"для проведения отгула сотрудник обращается к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия необходимо создать заявку в личном кабинете в разделе «отпуска» (https://company-x5.ru/vacations/plan?vp_page=1 ), указав новый период отсутствия.",отгул,как перенести отгул?,"для проведения отгула сотрудник обращается к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия необходимо создать заявку в личном кабинете в разделе «отпуска» (https://company-x5.ru/vacations/plan?vp_page=1 ), указав новый период отсутствия.",отгул,работа
730,как провести отгул?,"оформление отгула возможно 2 способами: 1. в разделе ""отпуска"" в левом меню личного кабинета сотрудника (https://company-x5.ru/vacations/plan?vp_page=1 ); 2. в разделе ""заявки"", группа ""отпуск"", плитка ""отгул (лк)"". (https://company-x5.ru/requests/tiles/my/)",отгул,как провести отгул?,"оформление отгула возможно 2 способами: 1. в разделе ""отпуска"" в левом меню личного кабинета сотрудника (https://company-x5.ru/vacations/plan?vp_page=1 ); 2. в разделе ""заявки"", группа ""отпуск"", плитка ""отгул (лк)"". (https://company-x5.ru/requests/tiles/my/)",отгул,работа
731,нужно провести перенос отгула,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,нужно провести перенос отгула,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
732,перенести отгул,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,перенести отгул,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
733,как осуществить перенос отгула,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,как осуществить перенос отгула,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
734,как оформить перенесение отгула?,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,как оформить перенесение отгула?,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
735,мне нужно перенести отгул,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,мне нужно перенести отгул,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
737,отменить отпуск без содержания,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,отменить отпуск без содержания,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
738,нужна отмена отпуска без оплаты,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,нужна отмена отпуска без оплаты,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
739,как сделать отмену отпуска без сохранения оплаты,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,как сделать отмену отпуска без сохранения оплаты,"пожалуйста, обратитесь к непосредственному руководителю, чтобы он создал заявку в личном кабинете по теме «отмена/аннулирование мероприятия». после выполнения мероприятия вы сможете создать заявку в личном кабинете по теме «отпуска и прочие отсутствия», подтема «отгул за ранее отработанный выходной или праздничный день», указав новый период отсутствия.",отгул,работа
740,у сотрудника не отображается количество отгулов и количество дней отпуска в личном кабинете,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,у сотрудника не отображается количество отгулов и количество дней отпуска в личном кабинете,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,работа
741,"в лк не отображается запланированный отпуск, который ранее был согласован руководителем","лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,"в личный кабинет не отображается запланированный отпуск, который ранее был согласован руководителем","лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,работа
742,пересчитайте лимиты для планирования отпуска,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,пересчитайте лимиты для планирования отпуска,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,работа
743,на дает запланировать вторую часть отпуска,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,на дает запланировать вторую часть отпуска,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,работа
744,не дает запланировать все дни отпуска,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,не дает запланировать все дни отпуска,"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,работа
745,не отображается количество дней отпуска в личном кабинете (оставались дни за прошлые года),"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,не отображается количество дней отпуска в личном кабинете (оставались дни за прошлые года),"лимиты в личном кабинете отображаются на основании данных в кадровой системе. в процессе планирования, программа считает дни исходя из имеющихся лимитов и может предоставить дни отпуска авансом. на календарный год программа предоставляет лимит 28 дней. период, за который накапливаются лимиты в количестве 28 дней, у каждого сотрудника индивидуальный и считается со дня приема в компанию. за каждый последующий отработанный месяц предоставляется 2.33 дня отпуска. специалистам hr следует проверить данные в 2001ит и в 2006ит, а именно сколько дней было запланировано и использовано в текущем году, есть ли неистраченные лимиты, есть ли продленный лимит на будущее. проверить количество запланированных дней и доступных остатков. посмотреть расчет отпускных дней отпуска на отчетную дату или на конец года можно через транзакцию zhrpa036. так же по существующему алгоритму при планировании отпусков в личном кабинете установлено правило - нельзя планировать более половины всех накопленных дней отпуска в первое полугодие до конца июня. у сотрудника прописано в личном кабинете, что нельзя планировать более 15 дней в первое полугодие.",отгул,работа
